ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,PRI_PVEM_NA,PRI_PVEM,PRI_NA,PVEM_NA,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,CAND_IND1,CAND_IND2,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
11,GUANAJUATO,6,ATARJEA,5,10,1312,488,29,102,131,16,24,856,68,3,8,7,0,3,12,2,1,17,12,0,4,1,116,0,206,3418,4242
11,GUANAJUATO,7,CELAYA,247,629,69115,18086,1479,2615,6735,1812,1294,53377,2145,1451,308,351,27,338,373,62,36,2269,794,120,464,105,25924,210,4612,194102,373130
11,GUANAJUATO,8,MANUEL DOBLADO,42,62,6220,5668,244,657,649,86,85,2344,149,59,25,15,1,26,44,6,11,108,26,3,26,1,1184,13,600,18250,31241
11,GUANAJUATO,9,COMONFORT,43,101,7928,3149,207,2033,796,709,441,8308,342,91,33,45,2,28,77,5,11,221,75,14,55,21,3188,13,1179,28971,59583
11,GUANAJUATO,10,CORONEO,10,18,2290,1330,33,237,238,39,38,890,84,21,16,4,0,4,12,2,4,32,15,4,7,2,488,2,269,6061,9461
11,GUANAJUATO,11,CORTAZAR,55,131,14505,3609,5822,693,2190,229,530,8985,525,232,179,29,21,43,42,8,7,380,142,33,62,81,5253,58,1179,44837,74090
11,GUANAJUATO,12,CUERAMARO,21,40,4623,1750,134,281,722,466,396,2169,174,46,11,17,7,12,24,8,3,83,30,5,16,33,796,1,476,12283,23226
11,GUANAJUATO,13,DOCTOR MORA,12,30,3895,931,338,120,540,1185,162,2938,226,50,19,56,10,10,6,5,2,114,37,10,28,8,686,1,481,11858,18050
11,GUANAJUATO,14,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,71,192,15582,10500,880,2821,2504,1198,592,10269,790,287,82,114,16,116,174,23,30,452,163,31,109,15,7783,53,2931,57515,112026
11,GUANAJUATO,15,GUANAJUATO,93,238,21444,10177,972,1568,3009,542,610,19451,706,396,135,86,8,191,162,40,17,849,290,37,118,11,7821,61,2027,70728,137513
